MISSION,SPECIES_CODE,OBSERVATION_GROUP,LV1_OBSERVATION,PROCESS_ORDER,ACTIVE
TEL2021002,159,standard,Weight,2,Y
TEL2021002,160,standard,Length,1,Y
TEL2021002,160,standard,Weight,2,Y
TEL2021002,165,standard,Length,1,Y
TEL2021002,165,standard,Weight,2,Y
TEL2021002,200,standard,Length,1,Y
TEL2021002,200,standard,Sex,2,Y
TEL2021002,200,standard,Weight,3,Y
TEL2021002,201,standard,Length,1,Y
TEL2021002,201,standard,Sex,2,Y
TEL2021002,201,standard,Weight,3,Y
TEL2021002,202,standard,Length,1,Y
TEL2021002,202,standard,Sex,2,Y
TEL2021002,202,standard,Weight,3,Y
TEL2021002,203,standard,Length,1,Y
TEL2021002,203,standard,Sex,2,Y
TEL2021002,203,standard,Weight,3,Y
TEL2021002,204,standard,Length,1,Y
TEL2021002,204,standard,Sex,2,Y
TEL2021002,204,standard,Weight,3,Y
TEL2021002,216,standard,Length,1,Y
TEL2021002,216,standard,Sex,2,Y
TEL2021002,216,standard,Weight,3,Y
TEL2021002,220,standard,Length,1,Y
TEL2021002,220,standard,Sex,2,Y
TEL2021002,220,standard,Weight,3,Y
TEL2021002,221,standard,Length,1,Y
TEL2021002,221,standard,Sex,2,Y
TEL2021002,221,standard,Weight,3,Y
TEL2021002,241,standard,Length,1,Y
TEL2021002,241,standard,Weight,2,Y
TEL2021002,243,standard,Length,1,Y
TEL2021002,243,standard,Weight,2,Y
TEL2021002,247,standard,Length,1,Y
TEL2021002,247,standard,Weight,2,Y
TEL2021002,248,standard,Length,1,Y
TEL2021002,248,standard,Weight,2,Y
TEL2021002,300,standard,Length,1,Y
TEL2021002,300,standard,Weight,2,Y
TEL2021002,301,standard,Length,1,Y
TEL2021002,301,standard,Weight,2,Y
TEL2021002,304,standard,Length,1,Y
TEL2021002,304,standard,Weight,2,Y
TEL2021002,306,standard,Length,1,Y
TEL2021002,306,standard,Weight,2,Y
TEL2021002,320,standard,Length,1,Y
TEL2021002,320,standard,Weight,2,Y
TEL2021002,323,standard,Length,1,Y
TEL2021002,323,standard,Weight,2,Y
TEL2021002,330,standard,Length,1,Y
TEL2021002,330,standard,Weight,2,Y
TEL2021002,340,standard,Length,1,Y
TEL2021002,340,standard,Weight,2,Y
TEL2021002,350,standard,Length,1,Y
TEL2021002,350,standard,Weight,2,Y
TEL2021002,400,standard,Length,1,Y
TEL2021002,400,standard,Weight,2,Y
TEL2021002,400,Tail Weight,Tail Weight,1,Y
TEL2021002,410,standard,Length,1,Y
TEL2021002,410,standard,Weight,2,Y
TEL2021002,411,standard,Length,1,Y
TEL2021002,411,standard,Weight,2,Y
TEL2021002,412,standard,Length,1,Y
TEL2021002,412,standard,Weight,2,Y
TEL2021002,414,standard,Length,1,Y
TEL2021002,414,standard,Weight,2,Y
TEL2021002,501,standard,Length,1,Y
TEL2021002,501,standard,Weight,2,Y
TEL2021002,502,standard,Length,1,Y
TEL2021002,502,standard,Weight,2,Y
TEL2021002,503,standard,Length,1,Y
TEL2021002,503,standard,Weight,2,Y
TEL2021002,590,standard,Length,1,Y
TEL2021002,590,standard,Weight,2,Y
TEL2021002,602,standard,Length,1,Y
TEL2021002,602,standard,Weight,2,Y
TEL2021002,604,standard,Length,1,Y
TEL2021002,604,standard,Weight,2,Y
TEL2021002,610,standard,Length,1,Y
TEL2021002,610,standard,Weight,2,Y
TEL2021002,613,standard,Length,1,Y
TEL2021002,613,standard,Weight,2,Y
TEL2021002,619,standard,Length,1,Y
TEL2021002,619,standard,Weight,2,Y
TEL2021002,620,standard,Length,1,Y
TEL2021002,620,standard,Weight,2,Y
TEL2021002,622,standard,Length,1,Y
TEL2021002,622,standard,Weight,2,Y
TEL2021002,623,standard,Length,1,Y
TEL2021002,623,standard,Weight,2,Y
TEL2021002,625,standard,Length,1,Y
TEL2021002,625,standard,Weight,2,Y
TEL2021002,630,standard,Length,1,Y
TEL2021002,630,standard,Weight,2,Y
TEL2021002,640,standard,Length,1,Y
TEL2021002,640,standard,Weight,2,Y
TEL2021002,647,standard,Length,1,Y
TEL2021002,647,standard,Weight,2,Y
TEL2021002,701,standard,Length,1,Y
TEL2021002,701,standard,Weight,2,Y
TEL2021002,704,standard,Length,1,Y
TEL2021002,704,standard,Weight,2,Y
TEL2021002,712,standard,Length,1,Y
TEL2021002,712,standard,Weight,2,Y
TEL2021002,880,standard,Length,1,Y
TEL2021002,880,standard,Weight,2,Y
TEL2021002,1191,standard,Length,1,Y
TEL2021002,1191,standard,Sex,2,Y
TEL2021002,1191,standard,Weight,3,Y
TEL2021002,2000,standard,Length,1,Y
